,Unnamed: 0,GMLID,LocalId,Namespace,Version,NatlStationCode,Name,Municipality,EUStationCode,ActivityBegin,ActivityEnd,Latitude,Longitude,SRSName,Altitude,AltitudeUnit,AreaClassification,BelongsTo
0,0,STA-FR01001,STA-FR01001,FR.LCSQA-INERIS.AQ,1,FR01001,Longlaville-Ecole,LONGLAVILLE,FR01001,1993-01-01T00:00:00+01:00,2014-11-04T00:00:00+01:00,49.535004,5.804447,urn:ogc:def:crs:EPSG::4326,265,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
1,1,STA-FR01004,STA-FR01004,FR.LCSQA-INERIS.AQ,1,FR01004,Distroff,DISTROFF,FR01004,1992-07-01T00:00:00+01:00,2013-06-29T00:00:00+01:00,49.332497,6.271664,urn:ogc:def:crs:EPSG::4326,223,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-regional,FR.LCSQA-INERIS.AQ/NET-FR075A
2,2,STA-FR01005,STA-FR01005,FR.LCSQA-INERIS.AQ,2,FR01005,Hayange,HAYANGE,FR01005,1990-06-01T00:00:00+01:00,2021-01-18T00:00:00+01:00,49.324722,6.076108,urn:ogc:def:crs:EPSG::4326,187,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
3,3,STA-FR01006,STA-FR01006,FR.LCSQA-INERIS.AQ,1,FR01006,Florange,FLORANGE,FR01006,1988-07-01T00:00:00+01:00,2016-01-07T00:00:00+01:00,49.32083,6.14,urn:ogc:def:crs:EPSG::4326,158,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
4,4,STA-FR01009,STA-FR01009,FR.LCSQA-INERIS.AQ,2,FR01009,Gandrange,GANDRANGE,FR01009,1993-01-01T00:00:00+01:00,2018-04-13T00:00:00+01:00,49.271393,6.1325,urn:ogc:def:crs:EPSG::4326,180,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
5,5,STA-FR01010,STA-FR01010,FR.LCSQA-INERIS.AQ,1,FR01010,La Maxe,LA MAXE,FR01010,1990-06-01T00:00:00+01:00,2013-01-03T00:00:00+01:00,49.164165,6.186392,urn:ogc:def:crs:EPSG::4326,165,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
6,6,STA-FR01011,STA-FR01011,FR.LCSQA-INERIS.AQ,2,FR01011,Metz-Centre,METZ,FR01011,1989-01-01T00:00:00+01:00,,49.119442,6.180833,urn:ogc:def:crs:EPSG::4326,192,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
7,7,STA-FR01012,STA-FR01012,FR.LCSQA-INERIS.AQ,2,FR01012,Metz-Borny,METZ,FR01012,1991-01-01T00:00:00+01:00,,49.110283,6.223336,urn:ogc:def:crs:EPSG::4326,204,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
8,8,STA-FR01014,STA-FR01014,FR.LCSQA-INERIS.AQ,2,FR01014,Pont-à-Mousson,PONT-À-MOUSSON,FR01014,1990-09-01T00:00:00+01:00,,48.915,6.058336,urn:ogc:def:crs:EPSG::4326,179,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
9,9,STA-FR01015,STA-FR01015,FR.LCSQA-INERIS.AQ,2,FR01015,Blénod-lès-PAM,BLÉNOD-LÈS-PONT-À-MOUSSON,FR01015,1990-07-01T00:00:00+01:00,2022-04-19T00:00:00+01:00,48.884724,6.051392,urn:ogc:def:crs:EPSG::4326,186,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
10,10,STA-FR01016,STA-FR01016,FR.LCSQA-INERIS.AQ,2,FR01016,Atton,ATTON,FR01016,1990-07-01T00:00:00+01:00,,48.886387,6.093611,urn:ogc:def:crs:EPSG::4326,203,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity,FR.LCSQA-INERIS.AQ/NET-FR075A
11,11,STA-FR01017,STA-FR01017,FR.LCSQA-INERIS.AQ,1,FR01017,Metz-Sablon,METZ,FR01017,1998-01-01T00:00:00+01:00,2013-06-04T00:00:00+01:00,49.09611,6.172778,urn:ogc:def:crs:EPSG::4326,185,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
12,12,STA-FR01018,STA-FR01018,FR.LCSQA-INERIS.AQ,2,FR01018,Scy-Chazelles,SCY-CHAZELLES,FR01018,2000-09-28T00:00:00+01:00,,49.107502,6.122775,urn:ogc:def:crs:EPSG::4326,170,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
13,13,STA-FR01019,STA-FR01019,FR.LCSQA-INERIS.AQ,2,FR01019,Thionville-Piscine,THIONVILLE,FR01019,1998-01-28T00:00:00+01:00,2023-01-17T00:00:00+01:00,49.36861,6.160831,urn:ogc:def:crs:EPSG::4326,156,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
14,14,STA-FR01020,STA-FR01020,FR.LCSQA-INERIS.AQ,2,FR01020,Thionville-Centre,THIONVILLE,FR01020,1999-07-08T00:00:00+01:00,,49.358337,6.156942,urn:ogc:def:crs:EPSG::4326,154,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
15,15,STA-FR01021,STA-FR01021,FR.LCSQA-INERIS.AQ,2,FR01021,Thionville-Garche,THIONVILLE,FR01021,2000-12-29T00:00:00+01:00,,49.394444,6.201392,urn:ogc:def:crs:EPSG::4326,151,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
16,16,STA-FR01022,STA-FR01022,FR.LCSQA-INERIS.AQ,2,FR01022,St-Julien-lès-Metz,SAINT-JULIEN-LÈS-METZ,FR01022,2002-01-01T00:00:00+01:00,2020-03-24T00:00:00+01:00,49.131115,6.207225,urn:ogc:def:crs:EPSG::4326,227,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
17,17,STA-FR01059,STA-FR01059,FR.LCSQA-INERIS.AQ,2,FR01059,HAYANGE-MARSPICH,HAYANGE,FR01059,2013-01-01T00:00:00+01:00,,49.3374,6.08207,urn:ogc:def:crs:EPSG::4326,197,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
18,18,STA-FR01060,STA-FR01060,FR.LCSQA-INERIS.AQ,2,FR01060,Malroy,MALROY,FR01060,2013-02-25T00:00:00+01:00,2021-01-15T00:00:00+01:00,49.16885,6.212669,urn:ogc:def:crs:EPSG::4326,173,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity,FR.LCSQA-INERIS.AQ/NET-FR075A
19,19,STA-FR01061,STA-FR01061,FR.LCSQA-INERIS.AQ,2,FR01061,Florange_Bétange_HAP,FLORANGE,FR01061,2009-04-20T00:00:00+01:00,,49.3331,6.1147,urn:ogc:def:crs:EPSG::4326,167,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
20,20,STA-FR01063,STA-FR01063,FR.LCSQA-INERIS.AQ,2,FR01063,Serémange-Erzange,SERÉMANGE-ERZANGE,FR01063,2013-01-07T00:00:00+01:00,,49.321335,6.103931,urn:ogc:def:crs:EPSG::4326,170,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
21,21,STA-FR01064,STA-FR01064,FR.LCSQA-INERIS.AQ,2,FR01064,Metz- Pont Grilles,METZ,FR01064,2013-07-17T00:00:00+01:00,,49.12508,6.181219,urn:ogc:def:crs:EPSG::4326,164,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
22,22,STA-FR01065,STA-FR01065,FR.LCSQA-INERIS.AQ,2,FR01065,Belleville sur Meuse,BELLEVILLE-SUR-MEUSE,FR01065,2014-01-10T00:00:00+01:00,,49.16778,5.387461,urn:ogc:def:crs:EPSG::4326,195,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
23,23,STA-FR01066,STA-FR01066,FR.LCSQA-INERIS.AQ,2,FR01066,Fameck,FAMECK,FR01066,2013-01-07T00:00:00+01:00,2021-01-01T00:00:00+01:00,49.305088,6.101194,urn:ogc:def:crs:EPSG::4326,186,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
24,24,STA-FR01092,STA-FR01092,FR.LCSQA-INERIS.AQ,1,FR01092,Farébersviller,FAREBERSVILLER,FR01092,2014-01-30T00:00:00+01:00,2014-12-02T00:00:00+01:00,49.117123,6.856736,urn:ogc:def:crs:EPSG::4326,289,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,FR.LCSQA-INERIS.AQ/NET-FR075A
25,25,STA-FR02001,STA-FR02001,FR.LCSQA-INERIS.AQ,2,FR02001,Berre l'Etang,BERRE-L'ÉTANG,FR02001,1981-11-01T00:00:00+01:00,,43.486233,5.171939,urn:ogc:def:crs:EPSG::4326,6,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
26,26,STA-FR02003,STA-FR02003,FR.LCSQA-INERIS.AQ,2,FR02003,Chateauneuf,CHÂTEAUNEUF-LES-MARTIGUES,FR02003,1976-09-01T00:00:00+01:00,2020-06-03T00:00:00+01:00,43.386814,5.16006,urn:ogc:def:crs:EPSG::4326,29,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
27,27,STA-FR02004,STA-FR02004,FR.LCSQA-INERIS.AQ,2,FR02004,Martigues P. Central,MARTIGUES,FR02004,1976-10-01T00:00:00+01:00,,43.41666,5.042731,urn:ogc:def:crs:EPSG::4326,107,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
28,28,STA-FR02005,STA-FR02005,FR.LCSQA-INERIS.AQ,2,FR02005,Martigues l'Ile,MARTIGUES,FR02005,1976-09-01T00:00:00+01:00,2020-03-07T00:00:00+01:00,43.405296,5.051636,urn:ogc:def:crs:EPSG::4326,2,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
29,29,STA-FR02006,STA-FR02006,FR.LCSQA-INERIS.AQ,2,FR02006,Martigues Laurons,MARTIGUES,FR02006,1976-11-01T00:00:00+01:00,,43.358982,5.023388,urn:ogc:def:crs:EPSG::4326,5,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
30,30,STA-FR02007,STA-FR02007,FR.LCSQA-INERIS.AQ,2,FR02007,Martigues La Gatasse,MARTIGUES,FR02007,1976-10-01T00:00:00+01:00,,43.36069,5.058139,urn:ogc:def:crs:EPSG::4326,124,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
31,31,STA-FR02008,STA-FR02008,FR.LCSQA-INERIS.AQ,2,FR02008,Port de Bouc Leque,PORT-DE-BOUC,FR02008,1976-10-01T00:00:00+01:00,,43.40195,4.981919,urn:ogc:def:crs:EPSG::4326,3,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
32,32,STA-FR02009,STA-FR02009,FR.LCSQA-INERIS.AQ,3,FR02009,Port Saint Louis,PORT-SAINT-LOUIS-DU-RHÔNE,FR02009,1977-01-01T00:00:00+01:00,,43.39378,4.801024,urn:ogc:def:crs:EPSG::4326,1,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
33,33,STA-FR02010,STA-FR02010,FR.LCSQA-INERIS.AQ,1,FR02010,Retour des Aires,ARLES,FR02010,1982-02-01T00:00:00+01:00,2013-12-14T00:00:00+01:00,43.500786,4.853818,urn:ogc:def:crs:EPSG::4326,5,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural,FR.LCSQA-INERIS.AQ/NET-FR070A
34,34,STA-FR02011,STA-FR02011,FR.LCSQA-INERIS.AQ,2,FR02011,Fos sur Mer,FOS-SUR-MER,FR02011,1976-09-01T00:00:00+01:00,,43.43786,4.945116,urn:ogc:def:crs:EPSG::4326,21,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
35,35,STA-FR02012,STA-FR02012,FR.LCSQA-INERIS.AQ,2,FR02012,Istres,ISTRES,FR02012,1976-09-01T00:00:00+01:00,,43.50615,4.982898,urn:ogc:def:crs:EPSG::4326,20,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
36,36,STA-FR02013,STA-FR02013,FR.LCSQA-INERIS.AQ,2,FR02013,Fos Les Carabins,FOS-SUR-MER,FR02013,1997-06-09T00:00:00+01:00,,43.458927,4.934572,urn:ogc:def:crs:EPSG::4326,4,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
37,37,STA-FR02014,STA-FR02014,FR.LCSQA-INERIS.AQ,1,FR02014,Port de Bouc Castil.,PORT-DE-BOUC,FR02014,1976-09-01T00:00:00+01:00,2015-01-23T00:00:00+01:00,43.42533,4.996785,urn:ogc:def:crs:EPSG::4326,69,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
38,38,STA-FR02016,STA-FR02016,FR.LCSQA-INERIS.AQ,1,FR02016,Salon de Provence,SALON-DE-PROVENCE,FR02016,1979-01-01T00:00:00+01:00,2013-11-22T00:00:00+01:00,43.63864,5.091892,urn:ogc:def:crs:EPSG::4326,73,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
39,39,STA-FR02018,STA-FR02018,FR.LCSQA-INERIS.AQ,2,FR02018,La Fare les Oliviers,LA FARE-LES-OLIVIERS,FR02018,1979-01-01T00:00:00+01:00,2017-01-27T00:00:00+01:00,43.548313,5.183108,urn:ogc:def:crs:EPSG::4326,41,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
40,40,STA-FR02019,STA-FR02019,FR.LCSQA-INERIS.AQ,2,FR02019,Vitrolles,VITROLLES,FR02019,1982-04-01T00:00:00+01:00,2020-02-19T00:00:00+01:00,43.44603,5.254136,urn:ogc:def:crs:EPSG::4326,86,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
41,41,STA-FR02020,STA-FR02020,FR.LCSQA-INERIS.AQ,2,FR02020,Rognac les Brets,ROGNAC,FR02020,1982-02-01T00:00:00+01:00,,43.510803,5.220046,urn:ogc:def:crs:EPSG::4326,48,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
42,42,STA-FR02021,STA-FR02021,FR.LCSQA-INERIS.AQ,2,FR02021,Sausset les Pins,SAUSSET-LES-PINS,FR02021,1989-02-01T00:00:00+01:00,,43.331245,5.117696,urn:ogc:def:crs:EPSG::4326,11,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
43,43,STA-FR02022,STA-FR02022,FR.LCSQA-INERIS.AQ,3,FR02022,Arles,ARLES,FR02022,1986-05-01T00:00:00+01:00,,43.675114,4.62921,urn:ogc:def:crs:EPSG::4326,10,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
44,44,STA-FR02023,STA-FR02023,FR.LCSQA-INERIS.AQ,1,FR02023,St Remy de Provence,SAINT-REMY-DE-PROVENCE,FR02023,1999-05-12T00:00:00+01:00,2016-01-26T00:00:00+01:00,43.788376,4.83465,urn:ogc:def:crs:EPSG::4326,57,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
45,45,STA-FR02024,STA-FR02024,FR.LCSQA-INERIS.AQ,2,FR02024,Ste Maries de la Mer,SAINTES-MARIES-DE-LA-MER,FR02024,1999-06-01T00:00:00+01:00,2020-05-29T00:00:00+01:00,43.457077,4.428002,urn:ogc:def:crs:EPSG::4326,1,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
46,46,STA-FR02026,STA-FR02026,FR.LCSQA-INERIS.AQ,2,FR02026,Miramas Centre Ville,MIRAMAS,FR02026,2004-04-05T00:00:00+01:00,2020-01-23T00:00:00+01:00,43.584694,5.006452,urn:ogc:def:crs:EPSG::4326,50,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
47,47,STA-FR02028,STA-FR02028,FR.LCSQA-INERIS.AQ,2,FR02028,Martigues Lavera,MARTIGUES,FR02028,2004-09-30T00:00:00+01:00,,43.386562,5.026868,urn:ogc:def:crs:EPSG::4326,49,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
48,48,STA-FR02029,STA-FR02029,FR.LCSQA-INERIS.AQ,2,FR02029,Chateauneuf La Mede,CHÂTEAUNEUF-LES-MARTIGUES,FR02029,2000-04-04T00:00:00+01:00,,43.399548,5.113214,urn:ogc:def:crs:EPSG::4326,10,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
49,49,STA-FR02030,STA-FR02030,FR.LCSQA-INERIS.AQ,1,FR02030,Berre Port,BERRE-L'ETANG,FR02030,1999-03-08T00:00:00+01:00,2015-12-08T00:00:00+01:00,43.47201,5.167704,urn:ogc:def:crs:EPSG::4326,1,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
50,50,STA-FR02031,STA-FR02031,FR.LCSQA-INERIS.AQ,2,FR02031,Marignane Ville,MARIGNANE,FR02031,1997-05-27T00:00:00+01:00,2017-08-04T00:00:00+01:00,43.415688,5.216875,urn:ogc:def:crs:EPSG::4326,10,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
51,51,STA-FR02033,STA-FR02033,FR.LCSQA-INERIS.AQ,2,FR02033,Martigues  Couronne,MARTIGUES,FR02033,1976-10-01T00:00:00+01:00,2020-02-20T00:00:00+01:00,43.339893,5.058827,urn:ogc:def:crs:EPSG::4326,47,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
52,52,STA-FR02034,STA-FR02034,FR.LCSQA-INERIS.AQ,1,FR02034,Martigues Ventrons,MARTIGUES,FR02034,1984-02-01T00:00:00+01:00,2016-02-22T00:00:00+01:00,43.37571,5.064025,urn:ogc:def:crs:EPSG::4326,71,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
53,53,STA-FR02035,STA-FR02035,FR.LCSQA-INERIS.AQ,2,FR02035,Carry le Rouet,CARRY-LE-ROUET,FR02035,1993-02-22T00:00:00+01:00,2018-01-05T00:00:00+01:00,43.330868,5.151234,urn:ogc:def:crs:EPSG::4326,7,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
54,54,STA-FR02036,STA-FR02036,FR.LCSQA-INERIS.AQ,1,FR02036,Martigues Pati,MARTIGUES,FR02036,1984-02-01T00:00:00+01:00,2015-01-07T00:00:00+01:00,43.398804,5.072803,urn:ogc:def:crs:EPSG::4326,12,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
55,55,STA-FR02037,STA-FR02037,FR.LCSQA-INERIS.AQ,2,FR02037,Port de Bouc EDF,PORT-DE-BOUC,FR02037,1984-01-01T00:00:00+01:00,2023-01-14T00:00:00+01:00,43.413944,4.985996,urn:ogc:def:crs:EPSG::4326,23,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR070A
56,56,STA-FR02041,STA-FR02041,FR.LCSQA-INERIS.AQ,2,FR02041,SALON,SALON-DE-PROVENCE,FR02041,2013-01-01T00:00:00+01:00,,43.639004,5.101097,urn:ogc:def:crs:EPSG::4326,82,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
57,57,STA-FR02043,STA-FR02043,FR.LCSQA-INERIS.AQ,1,FR02043,Marignane,MARIGNANE,FR02043,2018-02-02T00:00:00+01:00,,43.41653,5.222281,urn:ogc:def:crs:EPSG::4326,15,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
58,58,STA-FR03002,STA-FR03002,FR.LCSQA-INERIS.AQ,1,FR03002,MARSEILLE TIMONE,MARSEILLE 5E ARRONDISSEMENT,FR03002,1981-12-16T00:00:00+01:00,2013-08-03T00:00:00+01:00,43.29005,5.400252,urn:ogc:def:crs:EPSG::4326,27,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
59,59,STA-FR03004,STA-FR03004,FR.LCSQA-INERIS.AQ,2,FR03004,MARSEILLE PLOMBIERES,MARSEILLE 14E ARRONDISSEMENT,FR03004,1982-01-15T00:00:00+01:00,2017-12-09T00:00:00+01:00,43.31543,5.386739,urn:ogc:def:crs:EPSG::4326,21,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
60,60,STA-FR03006,STA-FR03006,FR.LCSQA-INERIS.AQ,2,FR03006,MARSEILLE RABATAU,MARSEILLE 8E ARRONDISSEMENT,FR03006,1981-12-16T00:00:00+01:00,,43.27645,5.39736,urn:ogc:def:crs:EPSG::4326,17,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
61,61,STA-FR03014,STA-FR03014,FR.LCSQA-INERIS.AQ,2,FR03014,MARSEILLE ST LOUIS,MARSEILLE 15E ARRONDISSEMENT,FR03014,1981-11-23T00:00:00+01:00,,43.34805,5.360119,urn:ogc:def:crs:EPSG::4326,59,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
62,62,STA-FR03021,STA-FR03021,FR.LCSQA-INERIS.AQ,2,FR03021,AIX ROY RENE,AIX-EN-PROVENCE,FR03021,1982-04-20T00:00:00+01:00,,43.524075,5.448164,urn:ogc:def:crs:EPSG::4326,182,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR070A
63,63,STA-FR03027,STA-FR03027,FR.LCSQA-INERIS.AQ,3,FR03027,PLAN AUPS/STE  BAUME,PLAN-D'AUPS-SAINTE-BAUME,FR03027,1983-05-03T00:00:00+01:00,,43.3352,5.727365,urn:ogc:def:crs:EPSG::4326,682,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity,FR.LCSQA-INERIS.AQ/NET-FR070A
